Class Number,Start Date,Start Date,Subject,Reading,Start Time,End Time,Description
1,1/18/2023,1/18/2023,Syllabus,,4:00,5:15,
2,1/23/2023,1/23/2023,Model Fitting - Sum of Squares,Leaf and Murphy Case Study,4:00,5:15,
3,1/25/2023,1/25/2023,Leaf Lab at Bays and Bayous,,,,
4,1/30/2023,1/30/2023,Model Fitting - Maximum Likelihood,,4:00,5:15,
5,2/1/2023,2/1/2023,Model Fitting - In Class Assignment,,4:00,5:15,
6,2/6/2023,2/6/2023,Leaf at AFS Southern Division,,,,
7,2/8/2023,2/8/2023,Monte Carlo Methods,Leaf Resampling Methods Notes,4:00,5:15,
8,2/13/2023,2/13/2023,Monte Carlo Methods - In Class Assignment,,4:00,5:15,
9,2/15/2023,2/15/2023,Leaf Lab at MS AFS Meeting,,,,
10,2/20/2023,2/20/2023,Mardi Gras Break,,,,
11,2/22/2023,2/22/2023,Individual Growth and Fecundity,"QD 04, Smith et al 2007",4:00,5:15,
12,2/27/2023,2/27/2023,Population Models,"QD 01, Gotelli 1998 Chapters 1-2",4:00,5:15,
13,3/1/2023,3/1/2023,Individual Growth and Population Models - In Class Assignment,,4:00,5:15,
14,3/6/2023,3/6/2023,Stock Productivity and Surplus Production Models,"QD 02, Conn 2010, Harley 2001, Maunder and Punt 2004, Prager et al 1996",4:00,5:15,
15,3/8/2023,3/8/2023,Stock Productivity and Surplus Production Models - In Class Assignment,,4:00,5:15,
16,3/13/2023,3/13/2023,Spring Break,,,,
17,3/15/2023,3/15/2023,Spring Break,,,,
18,3/20/2023,3/20/2023,Mortality Rate and Age Structure,Lebreton et al. 1992,4:00,5:15,
19,3/22/2023,3/22/2023,Catch Curve Analysis,"QD 8.2.2, Smith et al 2012",4:00,5:15,
20,3/27/2023,3/27/2023,Mortality and Catch Curve Analysis - In Class Assignment,,4:00,5:15,
21,3/29/2023,3/29/2023,Selectivity,,4:00,5:15,
22,4/3/2023,4/3/2023,Per Recruit Analysis ,"QD 06.3, 06.4, Prager et al 1987",4:00,5:15,
23,4/5/2023,4/5/2023,Selectivity and Per Recruit Analysis - In Class Assignment,,4:00,5:15,
24,4/10/2023,4/10/2023,Matrix Population Models,"Brault & Caswell 1993, Caswell p. 3 to 34, Frisk et al 2002",4:00,5:15,
25,4/12/2023,4/12/2023,"Matrix Population Models - In Class Assignment, Project Presentations",,4:00,5:15,
26,4/17/2023,4/17/2023,Sampling,"QD 08.1, Crone 1995, Gulland 1966",4:00,5:15,
27,4/19/2023,4/19/2023,Sampling - In Class Assignment,,4:00,5:15,
28,4/24/2023,4/24/2023,Stock and Recruitment,"QD 03, Iles 1994, Meyers 2001",4:00,5:15,
29,4/26/2023,4/26/2023,Stock and Recruitment - In Class Assignment,,4:00,5:15,
30,5/1/2023,5/1/2023,Reference Points,"QD 11, Sinclair 1999",4:00,5:15,
31,5/3/2023,5/3/2023,Ecosystem Based Fishery Management and Management Stratey Evaluation,"Clark 1976, Punt et al. 2016",4:00,5:15,
32,5/8/2023,5/8/2023,Final Project Presentations,,4:00,5:15,
